Scholarship name,School,Academic Program,Status,Deadline
Robert W. Best Scholarship,All Schools,All,Closed,
Recycling Scholarship,All Schools,All Majors,Closed,
Sjoerd Steunebrink Endowed Scholarship,All Schools,All,Closed,
Minnie K. Patton Endowed Scholarship,All Schools,All,Closed,
Ram Lal Seekri Endowed Scholarship,All Schools,All,Closed,
Selden Leavell Endowed Scholarship,All Schools,All,Closed,
Richardson Woman’s Club Scholarship,All Schools,All,Closed,
Jerry L. Caddell Scholarship,All Schools,All,Closed,
Naveen Jindal School of Management Graduate Scholarships,Naveen Jindal School of Management,All,Ongoing,
Erik Jonsson School of Engineering & Computer Science Undergraduate Scholarships,Erik Jonsson School of Engineering and Computer Science,All Majors,Ongoing,
Erik Jonsson School of Engineering & Computer Science Graduate Fellowships,Erik Jonsson School of Engineering and Computer Science,All,Ongoing,
International Education Fund Scholarship (IEFS),All Schools,All Majors,Ongoing,
Dean’s Excellence Scholarships for Graduate Students,Naveen Jindal School of Management,Biology,Ongoing,
"Naveen Jindal School of Management
 Undergraduate Scholarships",Naveen Jindal School of Management,Biology,Ongoing,
Phi Theta Kappa Scholarship,All Schools,All Majors,Ongoing,
Comet Transfer Scholarship,All Schools,All Majors,Ongoing,
